flow_duration,packet_count,traffic_volume,packet_interarrival,packet_loss,bit_error_rate,pfr,snr,snr_std,signal_strength,burst_loss_rate,location_jump,port_number,ttl,src_addr_valid,dst_addr_valid,protocol,label
0.1845970586422849,8,2766.6832820775935,0.023074629445956934,0.5561743652967569,0.12506196302477518,0.5561743652967569,17.51963272553607,6.506158970659139,-48.597776260324345,1,0.34655316975976885,80,87,1,1,TCP,jamming
3.683686773028821,30,10341.261610856396,0.12278955500797553,0.07270214585972201,0.012488151844492482,0.07270214585972201,31.9039801944679,1.3305516993988533,-54.64238783995661,0,0.07371760888363453,80,102,1,1,TCP,spoofing
1.6820899371107618,5,1201.5254621450808,0.3364179201385683,0.28800210818823563,0.1382042102303177,0.28800210818823563,9.53093463360128,11.95916727109979,-33.20524323804564,0,0.7754925123365893,39848,98,1,0,DNS,jamming
3.7157882729629845,29,12708.897769984165,0.12813062568387443,0.001092609394481341,0.012154702402939845,0.001092609394481341,30.038646380582477,0.613244475499621,-46.76574939424545,0,0.21087093336496268,53,55,1,1,HTTP,normal
1.0020210469772426,26,11074.567552573923,0.038539269555306656,0.048973087479820994,0.03718832118146358,0.048973087479820994,37.71800508223947,4.496666866651504,-50.53945286183547,0,0.07331544276476513,30482,39,1,0,TCP,spoofing
2.1263175384881707,28,6770.536693832268,0.07593990937672361,0.08725399715727686,0.00565925226736395,0.08725399715727686,27.817720678272316,1.7949294417360067,-59.4603833292051,0,0.48486323085755806,443,61,1,1,DNS,spoofing
2.591999393869146,26,13990.643027696082,0.09969228054526405,0.03236124387303901,0.004125025624425166,0.03236124387303901,30.681089159350474,0.7100947920089518,-46.195925724339425,0,0.02656877404652306,15279,125,1,1,TCP,normal
1.9785247627584628,14,9375.284101704847,0.14132318724537682,0.06820858822871437,0.005456921080183211,0.06820858822871437,27.373498239390983,0.5518716529516527,-48.73149582740267,0,0.030250819690383825,123,69,1,1,TCP,normal
3.8858681584589765,21,12173.371630699061,0.18504133206750686,0.034538876110665785,0.00033149604094511294,0.034538876110665785,29.355876050104328,0.3406212022333964,-45.44472425703529,0,0.2115330851271538,80,58,1,1,UDP,normal
0.4927923153723075,14,7208.439298431858,0.03519944858377564,0.03165879462511427,0.008401253261583516,0.03165879462511427,33.82894508452822,0.8477341256078623,-57.5756781386899,0,0.29866203579069345,15279,79,1,1,TCP,normal
